0.33,0.5236,-1.189,2.127,0.563,-2.138
0.31352,0.52902,-1.20289,2.11181,0.56483,-2.10929
0.28351,0.53779,-1.22641,2.08727,0.56892,-2.06037
0.24109,0.54899,-1.25724,2.05552,0.57617,-1.99491
0.18643,0.56206,-1.29383,2.01742,0.58769,-1.91472
0.11926,0.57653,-1.33478,1.97358,0.60478,-1.82118
0.03898,0.59187,-1.37866,1.92489,0.62902,-1.71579
-0.05524,0.60741,-1.42401,1.87278,0.66217,-1.60042
-0.1646,0.62229,-1.46941,1.81922,0.70628,-1.47709
-0.29129,0.63549,-1.51374,1.7664,0.76395,-1.34717
-0.44085,0.64561,-1.55647,1.71554,0.84013,-1.20891
-0.63854,0.64918,-1.59888,1.66186,0.95432,-1.04392
-0.43854,0.67088,-1.58554,1.72028,0.80221,-1.2047
-0.63854,0.67595,-1.63029,1.67138,0.91643,-1.04425
-0.83854,0.66964,-1.66035,1.63607,1.04482,-0.89951
-0.74606,0.7166,-1.69394,1.70613,0.91184,-0.9966
-0.84893,0.72985,-1.72618,1.72038,0.94611,-0.94591
-0.80188,0.75848,-1.74667,1.76594,0.86751,-1.00592
-0.79128,0.7808,-1.76649,1.80443,0.8191,-1.04143
-0.77565,0.80261,-1.78406,1.84674,0.76745,-1.08446
-0.76024,0.82304,-1.79922,1.89388,0.7167,-1.13316
-0.74484,0.84182,-1.81138,1.94765,0.66714,-1.18954
-0.7292,0.85863,-1.81981,2.00975,0.61934,-1.25581
-0.71315,0.87321,-1.82362,2.08191,0.57412,-1.33431
-0.69664,0.88539,-1.82183,2.16566,0.53266,-1.42739
-0.67963,0.89527,-1.81345,2.26197,0.49643,-1.53716
-0.66213,0.90346,-1.79778,2.37068,0.46718,-1.66469
-0.6442,0.91115,-1.77491,2.48959,0.44684,-1.80892
-0.6259,0.92014,-1.74637,2.61401,0.43714,-1.96538
-0.60734,0.93224,-1.71521,2.73706,0.43918,-2.12592
-0.58864,0.94851,-1.68526,2.8515,0.4529,-2.28054
-0.56995,0.96878,-1.65944,2.95208,0.47702,-2.42083
-0.5514,0.99193,-1.63883,3.03668,0.50952,-2.54248
-0.53312,1.01663,-1.62294,3.1058,0.54828,-2.64516
-0.51518,1.04181,-1.61063,3.16125,0.59142,-2.73073
-0.4977,1.06671,-1.60073,3.20515,0.63745,-2.80175
-0.48076,1.09086,-1.59228,3.2395,0.6852,-2.86071
-0.46443,1.11399,-1.58461,3.26602,0.73372,-2.90976
-0.44879,1.1359,-1.57724,3.28616,0.78226,-2.95067
-0.43391,1.15647,-1.56987,3.30113,0.83018,-2.98488
-0.41984,1.17563,-1.56233,3.31193,0.87698,-3.01353
-0.40662,1.19332,-1.55455,3.3194,0.92223,-3.03755
-0.39428,1.20952,-1.54653,3.32425,0.96556,-3.0577
-0.38284,1.22419,-1.53832,3.32708,1.00667,-3.07459
-0.37231,1.23731,-1.53002,3.32842,1.04528,-3.08871
-0.3627,1.2489,-1.52176,3.3287,1.08118,-3.10048
-0.35401,1.25893,-1.51369,3.32831,1.11414,-3.11024
-0.34624,1.26743,-1.50598,3.32759,1.14397,-3.11827
-0.33938,1.27437,-1.4988,3.32684,1.17051,-3.12481
-0.33343,1.27978,-1.49233,3.3263,1.19358,-3.13005
-0.32839,1.28364,-1.48674,3.32619,1.21303,-3.13414
-0.32427,1.28595,-1.48219,3.32669,1.2287,-3.13723
-0.32107,1.28666,-1.4788,3.32796,1.24043,-3.13939
-0.31881,1.28576,-1.47669,3.33011,1.24807,-3.1407
-0.31764,1.28441,-1.47578,3.33201,1.2516,-3.14124
